longitude,latitude,species
114.194777,31.901857,白冠长尾雉
114.248227,31.912665,白冠长尾雉
114.246046,31.96232,白冠长尾雉
114.232519,31.932153,白冠长尾雉
114.32,31.943241,白冠长尾雉
114.228627,31.900484,白冠长尾雉
114.235965,31.998543,白冠长尾雉
114.251865,31.922836,白冠长尾雉
114.202451,31.967919,白冠长尾雉
114.174022,31.948567,白冠长尾雉
114.241281,31.966624,白冠长尾雉
114.223819,31.870199,白冠长尾雉
114.294986,31.923927,白冠长尾雉
114.247385,31.94707,白冠长尾雉
114.261402,31.926901,白冠长尾雉
114.15,31.960212,白冠长尾雉
114.268057,31.888994,白冠长尾雉
114.224346,31.966534,白冠长尾雉
114.247639,31.914238,白冠长尾雉
114.275898,31.85,白冠长尾雉
114.227862,31.967627,白冠长尾雉
114.253256,31.981511,白冠长尾雉
114.197559,31.926974,白冠长尾雉
114.312149,31.872913,白冠长尾雉
114.311664,31.976755,白冠长尾雉
114.264512,31.923235,白冠长尾雉
114.236077,31.882068,白冠长尾雉
114.258194,31.87007,白冠长尾雉
114.199932,31.904421,白冠长尾雉
114.231264,31.918056,白冠长尾雉
114.211056,31.866948,白冠长尾雉
114.198579,31.929616,白冠长尾雉
114.256734,31.920481,白冠长尾雉
114.218758,31.932519,白冠长尾雉
114.22062,31.900249,白冠长尾雉
114.223222,31.894743,白冠长尾雉
114.225128,31.904399,白冠长尾雉
114.213632,31.912816,白冠长尾雉
114.213985,31.946145,白冠长尾雉
114.2663,31.954414,白冠长尾雉
114.268489,31.937464,白冠长尾雉
114.190746,31.85,白冠长尾雉
114.193476,31.897385,白冠长尾雉
114.210154,31.888218,白冠长尾雉
114.235961,31.935318,白冠长尾雉
114.299037,31.962039,白冠长尾雉
114.259646,32.009303,白冠长尾雉
114.242719,31.966827,白冠长尾雉
114.232285,31.970197,白冠长尾雉
114.173183,31.897274,白冠长尾雉
